reporting_year,lea_code,lea_name,school_code,school_name,sbe_region,grade_span,title_1,missed_days,subgroup,spg_grade,spg_score,ach_score,eg_score,eg_status,eg_index,rd_spg_grade,rd_spg_score,rdgs_ach_score,rd_eg_score,rd_eg_status,rd_eg_index,ma_spg_grade,ma_spg_score,mags_ach_score,ma_eg_score,ma_eg_status,ma_eg_index,aaa_score,scgs_score,elp_score,cgrs_score,bi_score,awa_score,mcr_score,asm_option,k2_feeder,use_3yr,use_alt_weight
2019,010,Alamance-Burlington Schools,010303,ABSS Early College at ACC,Piedmont-Triad,09-13,,1,ALL,A,88,90.4,80.3,Met,0.15,N/A,,,,,,N/A,,,,,,84.2,,,,>95,87.2,>95,,,,
2019,010,Alamance-Burlington Schools,010303,ABSS Early College at ACC,Piedmont-Triad,09-13,,1,AMIN,I,,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,
2019,010,Alamance-Burlington Schools,010303,ABSS Early College at ACC,Piedmont-Triad,09-13,,1,ASIA,I,,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,
2019,010,Alamance-Burlington Schools,010303,ABSS Early College at ACC,Piedmont-Triad,09-13,,1,BLCK,I,,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,
2019,010,Alamance-Burlington Schools,010303,ABSS Early College at ACC,Piedmont-Triad,09-13,,1,HISP,B,71,70.6,,,,N/A,,,,,,N/A,,,,,,70.6,,,,,,,,,,
2019,010,Alamance-Burlington Schools,010303,ABSS Early College at ACC,Piedmont-Triad,09-13,,1,MULT,I,,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,
2019,010,Alamance-Burlington Schools,010303,ABSS Early College at ACC,Piedmont-Triad,09-13,,1,WHTE,A,88,90.6,79.6,Met,-0.07,N/A,,,,,,N/A,,,,,,90.6,,,,,,,,,,
2019,010,Alamance-Burlington Schools,010303,ABSS Early College at ACC,Piedmont-Triad,09-13,,1,EDS,B,78,77.4,81.7,Met,0.68,N/A,,,,,,N/A,,,,,,77.4,,,,,,,,,,
2019,010,Alamance-Burlington Schools,010303,ABSS Early College at ACC,Piedmont-Triad,09-13,,1,ELS,I,,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,
2019,010,Alamance-Burlington Schools,010303,ABSS Early College at ACC,Piedmont-Triad,09-13,,1,SWD,I,,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,
